datetime,open,high,low,close,volume
2025-02-03 11:00:00,1.02437,1.02558,1.0234,1.0252,9193
2025-02-03 12:00:00,1.02516,1.0278,1.0248,1.02577,8932
2025-02-03 13:00:00,1.02571,1.0289,1.02571,1.02634,11320
2025-02-03 14:00:00,1.02627,1.02659,1.0246,1.02498,13424
2025-02-03 15:00:00,1.0245,1.03357,1.02401,1.03153,19574
2025-02-03 16:00:00,1.03147,1.0322,1.02727,1.02801,18096
2025-02-03 17:00:00,1.02798,1.03018,1.02708,1.02798,13236
2025-02-03 18:00:00,1.02785,1.02876,1.02685,1.0278,11245
2025-02-03 19:00:00,1.02785,1.02972,1.02785,1.0284,8741
2025-02-03 20:00:00,1.02848,1.02994,1.0282,1.02956,7924
2025-02-03 21:00:00,1.02947,1.035,1.0291,1.03424,8627
2025-02-03 22:00:00,1.03424,1.0347,1.0326,1.03398,773
2025-02-03 23:00:00,1.034,1.03498,1.0325,1.03275,3063
2025-02-04 00:00:00,1.03281,1.03307,1.0315,1.03178,2989
2025-02-04 01:00:00,1.0317,1.0323,1.0308,1.03217,3861
2025-02-04 02:00:00,1.03214,1.0324,1.0315,1.0322,7454
2025-02-04 03:00:00,1.03218,1.0324,1.031,1.03147,6817
2025-02-04 04:00:00,1.03148,1.03152,1.0305,1.0307,5986
2025-02-04 05:00:00,1.0306,1.0306,1.02715,1.02928,11460
2025-02-04 06:00:00,1.02932,1.03077,1.0291,1.03065,7434
2025-02-04 07:00:00,1.03057,1.03171,1.0299,1.0311,8430
2025-02-04 08:00:00,1.03111,1.03356,1.0308,1.03338,12516
2025-02-04 09:00:00,1.03336,1.035,1.0332,1.03388,10292
2025-02-04 10:00:00,1.03373,1.0344,1.0325,1.0335,8066
2025-02-04 11:00:00,1.03347,1.03352,1.0321,1.0322,7584
2025-02-04 12:00:00,1.03221,1.03284,1.0319,1.03253,8051
2025-02-04 13:00:00,1.03251,1.03405,1.0322,1.03402,10218
2025-02-04 14:00:00,1.03402,1.03662,1.0339,1.036,12769
2025-02-04 15:00:00,1.03586,1.03859,1.03557,1.03802,15224
